Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
Farmina Natural and Delicious Grain Free Chicken & Pomegranate Neutered,1.38,48.94,0.64,11.7,24.47,3904,11-Dec-16,72.55002637,ADULT
Performatrin Ultra Original Grain-Free Kitten Recipe,1.39,44.6,0.37,20.2,20.2,3915,16-Jan-20,55.2546286,ADULT
Performatrin Ultra Grain-Free Recipe,1.39,44.6,0.37,20.2,20.2,3915,28-Nov-19,55.2546286,ADULT
Summit,1.4,31,0.37,18,40,3499,31-Oct-19,70.8781362,ADULT
Diamond Care Weight Management,1.4,35.8,0.51,10.3,34.5,3080,12-Nov-19,88.31425937,ADULT
NutriSource Grain Free Ocean Select Entrée,1.4,36.7,1.5,16,na,4004,28-Jan-20,68.4349455,ADULT
Wysong Vitality,1.4,38.7,0.4,17.2,23.8,3552,16-Oct-19,64.27648579,ADULT
Acana Appalachian Ranch,1.4,39,0.39,22,24,3980,29-Oct-19,57.05128205,ADULT
Acana Grasslands,1.4,39,0.44,22,24,3980,29-Oct-19,57.05128205,ADULT
Wysong Nurture,1.4,40.4,0.4,15.9,23.3,3584,16-Oct-19,65.53178903,ADULT
Wysong Fundamentals,1.4,42.1,0.4,15.8,24.6,3480,16-Oct-19,64.50133798,ADULT
Wysong Nurture with Quail,1.4,43.7,0.4,17.1,22.3,3608,16-Oct-19,60.76786168,ADULT
Orijen Six Fish,1.4,44,0.78,22,20,4060,23-Sep-19,53.40909091,ADULT
Wellness Complete Health Grain Free Senior Chicken & Chicken Meal,1.4,46.66,0.43,14.75,26.12,3392,01-Feb-20,64.07767696,ADULT
Instinct Ultimate Protein Chicken,1.4,52,0.67,18.89,13.33,4470,08-Nov-19,53.1543959,ADULT
Wellness RawRev indoor with 100% Raw Freeze-Dried Turkey Liver,1.41,42.55,0.29,15.49,31.47,3627,01-Feb-20,64.88398186,ADULT
Wellness CORE Indoor Cat Chicken & Turkey,1.41,43.26,0.29,14.95,29.35,3561,01-Feb-20,65.68435083,ADULT
Taste of the Wild Prey Limited Ingredient Angus Beef,1.42,33.6,0.42,14.2,41.3,3650,18-Oct-19,75.93477532,ADULT
Wellness Complete Health Grain Free Salmon & Salmon Meal,1.42,42.17,0.61,17.42,26.18,3672,01-Feb-20,61.21483025,ADULT
"Rachael Ray Nutrish PEAK Rustic Woodlands Indoor with Chicken, Turkey, & Duck*",1.42,43.96,0.58,15.38,na,3551,06-Jan-20,64.19566907,ADULT
Wellness CORE Grain-Free Indoor Salmon & Herring,1.43,43.04,0.41,11.32,30.39,3277,01-Feb-20,77.62932337,ADULT
ZiwiPeak New Zealand Air-Dried Venison,1.43,54,0.77,32,7,4700,01-Feb-20,40.33564815,ADULT
Fussie Cat Quail & Duck Meal*,1.44,36.67,na,16.67,na,3598,17-Jan-20,67.08121152,ADULT
Whole Earth Farms Grain Free Real Turkey & Duck,1.45,39.87,0.7,16.8,30.27,3515,25-Oct-19,64.08998889,ADULT
Nulo Freestyle Grain Free Cat and Kitten Turkey & Duck,1.45,43.78,0.45,19.73,23.36,3696,26-Nov-19,56.42818062,ADULT
Merrick Limited Ingredient Grain Free Chicken,1.46,41.02,0.64,16.16,29.65,3588,18-Nov-16,64.50759349,ADULT
Whole Earth Farms Grain Free Real Chicken,1.46,41.02,0.83,16.16,29.65,3459,25-Oct-19,64.50759349,ADULT
I and Love and You Nude Food Surf n' Chick,1.46,49.95,na,23.33,na,3817,08-Nov-19,48.59982142,ADULT
Holistic Select Grain Free Adult Anchovy & Sardine and Salmon Meal,1.47,38.12,0.46,21.68,28.04,3921,01-Feb-20,58.16018942,ADULT
I and Love and You Nude Food Poultry & Plenty,1.47,49.9,na,21.85,na,3732,08-Nov-19,50.22172491,ADULT
"Chicken Soup for the Soul Classic Kitten Chicken, Brown Rice & Pea",1.48,40.06,0.37,22.42,24.72,3797,28-Oct-19,55.73486336,ADULT
Artemis OSOPure Grain Free Salmon and Garbanzo Bean,1.5,40.4,0.39,21.9,25.6,3861,09-Dec-16,56.05474931,ADULT
Instinct Raw Boost Indoor Health Chicken,1.5,41,0.66,14.29,26.37,3861,08-Nov-19,68.97625834,ADULT
Instinct Raw Boost Healthy Weight Chicken,1.5,41,0.77,13.19,25.27,3709,08-Nov-19,72.18606113,ADULT
I and Love and You Naked Essentials Salmon & Trout,1.5,42.87,0.5,17.37,na,3421,08-Nov-19,60.82170743,ADULT
Merrick Purrfect Bistro Grain Free Healthy Kitten Recipe Kitten,1.5,43.63,0.38,20.06,22.52,3755,26-Jun-19,56.06775822,ADULT
Orijen Regional Red,1.5,44,0.56,22,19,4060,23-Sep-19,53.40909091,ADULT
Earthborn Holistic Grain Free Primitive Feline,1.5,47.8,0.3,21.7,20.1,3925,15-Jan-20,51.49624973,ADULT
ZiwiPeak New Zealand Free Range Chicken,1.5,48,0.68,39,1,5500,01-Feb-20,40.14423077,ADULT
"GO! Solutions 84% Carnivore Grain Free Chicken, Turkey & Duck",1.5,51,0.49,21,17,4298,31-Oct-19,50.70028011,ADULT
Wellness Complete Health Grain Free Indoor Salmon & Herring,1.52,38.21,0.53,12.55,31.77,3432,01-Feb-20,76.53865042,ADULT
Nutrisca Grain Free Salmon Recipe*,1.52,40.3,0.93,15.7,30.2,3560,21-Jan-20,66.04921686,ADULT
Feline Natural Lamb & King Salmon Feast Freeze Dried*,1.52,47.83,na,40.22,na,5197,01-Feb-20,39.80901404,ADULT
Only Natural Pet Feline Powerfood Kitten Power Dinner*,1.53,50.89,0.52,23.44,na,3750,29-Jan-20,48.02694629,ADULT
"Rachael Ray Nutrish PEAK Woodland Catch With Chicken, Trout & Salmon*",1.54,43.96,0.88,19.78,na,3756,06-Jan-20,56.24080536,ADULT
Merrick Purrfect Bistro Grain Free Healthy Weight Recipe Adult,1.54,46.6,0.55,15.5,28.64,3215,26-Jun-19,62.3079053,ADULT
ZiwiPeak New Zealand Air-Dried Lamb,1.56,43,0.77,41,3,5600,01-Feb-20,42.48440159,ADULT
Orijen Tundra,1.56,44,0.44,22,20,4120,23-Sep-19,53.40909091,ADULT
Diamond Naturals Chicken & Rice Indoor Formula,1.6,36.4,0.58,15.8,30.9,3350,12-Nov-19,69.15078592,ADULT
Diamond Naturals Chicken & Rice Formula Kitten,1.6,38.9,0.47,24.6,24.5,4052,12-Nov-19,54.49139967,ADULT
Earthborn Holistic Grain Free Wild Sea Catch,1.6,47.8,0.4,21.7,19,3895,15-Jan-20,51.49624973,ADULT
I and Love and You Naked Essentials Chicken & Duck,1.63,42.21,0.54,17.33,na,3502,08-Nov-19,61.35070806,ADULT
Merrick Purrfect Bistro Grain Free Healthy Senior Recipe Senior,1.63,44.44,0.62,16.56,29.13,3431,26-Jun-19,61.34037317,ADULT
Feline Natural Chicken & LambFeast Freeze Dried*,1.63,52.17,na,33.7,na,4857,01-Feb-20,40.28060512,ADULT
I and Love and You Lovingly Simple Salmon & Sweet Potato,1.65,42.13,0.87,15.7,na,3538,08-Nov-19,64.70191597,ADULT
"Wellness CORE Grain-Free Adult Turkey, Turkey Meal & Duck",1.66,44.29,0.28,20.74,21.14,3902,01-Feb-20,54.74187943,ADULT
Fussie Cat Guinea Fowl & Turkey Meal*,1.67,38.89,na,16.67,na,3598,17-Jan-20,65.13534012,ADULT
ZiwiPeak New Zealand Air-Dried Mackerel & Lamb,1.67,51,0.77,33,4,4800,01-Feb-20,41.17647059,ADULT
Merrick Purrfect Bistro Grain Free Real Salmon & Sweet Potato,1.68,46.81,0.57,18.38,26.43,3748,26-Jun-19,56.62752604,ADULT
Wellness CORE Grain Free Original Turkey & Chicken,1.68,51.36,0.51,21.3,14.17,3977,01-Feb-20,50.15960247,ADULT
Wellness CORE Grain Free Kitten Turkey & Chicken,1.68,51.36,0.51,21.3,14.17,3977,01-Feb-20,50.15960247,ADULT
Wellness RawRev Original with 100% Raw Freeze-Dried Turkey Liver,1.68,52.66,0.51,21.36,12.76,3871,01-Feb-20,49.48624559,ADULT
Orijen Fit & Trim,1.7,48.9,0.42,16.7,17.8,3710,23-Sep-19,58.49650392,ADULT
Natural Balance Original Ultra Whole Body Health Chicken & Salmon,1.71,38.84,0.59,18.61,31.13,na,07-Oct-19,61.73731939,ADULT
Wellness Complete Health Salmon & Salmon Meal,1.72,42.07,0.61,19.84,26.03,3873,01-Feb-20,57.43415832,ADULT
"Nulo Freestyle Grain Free Senior Cat Grain Free Alaska Pollock, Duck & Sweet Potato",1.73,42.75,0.35,15.41,27.48,3454,26-Nov-19,64.93087575,ADULT
Only Natural Pet Feline Powerfood High Protein Grain Free Rabbit*,1.76,42.22,0.54,22.22,na,3650,29-Jan-20,54.35929666,ADULT
Victor Mers Classic,1.78,35.34,0.35,18.29,38.39,3596,23-Nov-19,65.44176187,ADULT
Merrick Purrfect Bistro Grain Free Real Chicken & Sweet Potato,1.8,47.51,0.54,17.39,25.66,3731,26-Jun-19,57.93762253,ADULT
Taste of the Wild Lowland Creek with Roasted Quail and Roasted Duck,1.86,40.3,0.55,17.5,29.1,3558,18-Oct-19,62.44594116,ADULT
Nature's Logic Sardine,1.88,42.2,0.6,15.5,25.8,3504,15-Nov-20,65.10472405,ADULT
ZiwiPeak New Zealand Air-Dried Beef,1.88,47.8,0.86,38,2.2,5500,01-Feb-20,40.62431183,ADULT
Horizon Legacy Cat & Kitten Grain Free,1.89,42.51,0.4,19.38,20.44,3870,25-Nov-19,57.78461888,ADULT
Instinct Raw Boost Indoor Health Rabbit,1.9,43,0.55,15.93,26.37,3913,08-Nov-19,63.59581892,ADULT
Only Natural Pet Feline Powerfood High Protein Grain Free Poultry*,1.92,52.22,0.43,20,18.89,3630,29-Jan-20,51.43718882,ADULT
Whole Earth Farms Grain Free Healthy Kitten,1.95,42.5,1.3,17.2,28.03,3500,25-Oct-19,61.38850889,ADULT
Instinct Raw Boost Grain Free Real Salmon,2,46,0.88,20.3,17.58,4488,08-Nov-19,54.2675091,ADULT
Diamond Naturals Chicken & Rice Active Cat,2,46.4,0.66,22.4,17.2,4000,12-Nov-19,51.4932266,ADULT
Instinct Original Grain Free Salmon Meal,2,47,0.66,19.78,17.58,4470,08-Nov-19,54.40160919,ADULT
Only Natural Pet Feline Powerfood High Protein Grain Free Fish & Fowl,2,50,0.44,21.11,17.78,3665,29-Jan-20,51.05400284,ADULT
Feline Natural Beef & Hoki Feast Freeze Dried*,2.17,51.09,na,34.78,na,4762,01-Feb-20,40.28031355,ADULT
Instinct Limited Ingredient Diet Turkey,2.2,39,0.55,18.13,26.37,4070,08-Nov-19,62.38774096,ADULT
Instinct Raw Boost Duck,2.2,44,0.77,25.82,12.09,4387,08-Nov-19,49.71040772,ADULT
Instinct Original Grain Free Duck,2.2,44,0.77,25.82,13.19,4397,08-Nov-19,49.71040772,ADULT
Instinct Kitten Chicken,2.2,47,0.66,24.73,13.19,4456,08-Nov-19,48.83593878,ADULT
Instinct Original Grain Free Rabbit Meal,2.3,45,0.66,24.73,13.19,4346,08-Nov-19,50.01797187,ADULT
Instinct Original Grain Free Chicken Meal,2.6,45,0.66,23.08,15.38,4300,08-Nov-19,51.60793376,ADULT
Instinct Raw Boost Grain Free Real Chicken,2.6,45,0.66,24.18,14.29,4327,08-Nov-19,50.52384891,ADULT
NOW FRESH Grain Free Senior/Weight Management Recipe,0.5,34,0.31,15,39,3571,31-Oct-19,200.5882353,NURSING CATS
Young Again ZERO Mature TruCarnivore 54/24,0.5,57.9,0.31,28.8,0,4510,01-Feb-20,112.4784111,NURSING CATS
Young Again LID (Limited Ingredient) ZERO Mature TruCarnivore 54/25,0.52,59.5,0.38,27.4,0,4446,01-Feb-20,112.7031835,NURSING CATS
NOW FRESH Grain Free Fish Recipe,0.6,34,0.33,22,35,3988,31-Oct-19,175.1336898,NURSING CATS
Hill's Science Diet Adult Urinary Hairball Control,0.62,34.2,0.35,18.8,32.2,3681,01-Feb-20,183.7128282,NURSING CATS
Young Again Mature Health CalPhosMag 54/22,0.65,57.6,0.31,28.6,6,4657,01-Feb-20,113.1385975,NURSING CATS
Hill's Science Diet Adult Oral Care,0.66,33.5,0.39,21.1,30.6,3762,01-Feb-20,179.2600976,NURSING CATS
Hill's Science Diet Adult 7+ Youthful Vitality Chicken & Rice Recipe,0.67,35.4,0.39,16.5,41,3870,01-Feb-20,188.5464818,NURSING CATS
Hill's Science Diet Adult 7+ Chicken,0.68,32.1,0.35,21.3,38.7,4006,01-Feb-20,184.0638849,NURSING CATS
Hill's Science Diet Adult 11+ Indoor,0.68,34.7,0.33,20.9,29.9,3790,01-Feb-20,175.5718875,NURSING CATS
NOW Fresh Grain Free Adult,0.68,35.73,0.35,21.59,34,3862,31-Oct-19,170.3307978,NURSING CATS
Hill's Science Diet Adult 11+ Chicken,0.69,32.7,0.33,22.5,37,4089,01-Feb-20,178.7155963,NURSING CATS
Performatrin Ultra Grain-Free Senior Recipe,0.69,33,0.28,17,30.8,4021,21-Jan-20,194.8306595,NURSING CATS
Hill's Healthy Advantage Adult Oral+ Feline Nutrition,0.69,33.4,0.41,22.3,30.1,4120,01-Feb-20,176.5661502,NURSING CATS
Hill's Science Diet Adult 7+ Indoor,0.69,34.1,0.35,17,33.8,3593,01-Feb-20,190.8228394,NURSING CATS
Hill's Healthy Advantage Adult,0.69,34.2,0.48,22.7,35.7,4117,01-Feb-20,172.7464771,NURSING CATS
Hill's Science Diet Adult 7+ Hairball Control,0.7,33.9,0.35,19.1,31.4,3674,01-Feb-20,183.7711779,NURSING CATS
Hill's Science Diet Adult Chicken,0.7,35,0.45,21.4,35.2,4021,01-Feb-20,173.2176235,NURSING CATS
Hill's Science Diet Adult Multiple Benefit,0.72,34.6,0.41,13,37,3325,01-Feb-20,210.8048021,NURSING CATS
Hill's Science Diet Adult Indoor,0.76,36.1,0.55,16.1,31.7,3515,01-Feb-20,188.1075687,NURSING CATS
Hill's Science Diet Adult Perfect Weight,0.76,40.2,0.35,12,33.2,3409,01-Feb-20,201.9900498,NURSING CATS
Diamond Maintenance,0.77,34.3,0.36,16.7,42,3742,12-Nov-19,191.3898151,NURSING CATS
Hill's Science Diet Adult Light,0.78,38,0.53,9.1,39.5,3179,01-Feb-20,239.7628687,NURSING CATS
Hill's Science Diet Adult Hairball Control,0.79,33.9,0.45,19.3,31,3673,01-Feb-20,183.1201186,NURSING CATS
Hill's Science Diet Adult Sensitive Stomach & Skin,0.79,35,0.45,22,36.3,4104,01-Feb-20,171.6883117,NURSING CATS
Hill's Science Diet Adult Hairball Control Light,0.79,40,0.44,9.6,35.1,3172,01-Feb-20,227.5,NURSING CATS
Wysong Vegan (I do not recommend vegan food for cats),0.8,29.5,0.2,11.4,40.8,3312,16-Oct-19,244.2462087,NURSING CATS
"Adore Loyal Novel Protein Trout, Barley, Oatmeal and Egg",0.8,32,0.3,19,38,3848,24 Oct 20,191.2828947,NURSING CATS
Red Flannel Cat Formula,0.8,33.3,0.35,15.3,33.65,3776,12-Nov-19,201.5544957,NURSING CATS
Hill's Science Diet Adult Sensitive Stomach & Skin Grain Free,0.8,35,0.45,21.9,35.2,4068,01-Feb-20,171.9373777,NURSING CATS
Organix Organic Chicken & Sweet Potato,0.8,36.9,0.23,15.4,39.9,3739,29-Oct-19,189.033189,NURSING CATS
Lotus Grain Free Oven-Baked Sardines & Herring,0.8,38,0.53,15.78,33.43,3457,28-Jan-20,183.9403642,NURSING CATS
Natural Planet Organic Chicken & Pea All Life Stages,0.81,34.02,0.66,15.75,na,3980,28-Jan-20,196.7078189,NURSING CATS
Regal Kitten Bites,0.81,37.28,0.3,23.44,na,3993,05-Jan-17,161.17308,NURSING CATS
Young Again ZERO Cat & Kitten Trucarnivore 54/26,0.81,57.6,0.25,28.6,0,4482,01-Feb-20,113.1385975,NURSING CATS
Organix Grain Free Organic Chicken & Brown Rice,0.83,32.6,0.24,15.6,41.1,3726,29-Oct-19,202.6899481,NURSING CATS
Trader Joe's Premium Chicken*,0.83,33.33,0.27,20,na,3832,28-Nov-16,183.0123012,NURSING CATS
Blackwood Indoor Chicken Meal & Brown Rice*,0.83,33.33,0.29,13.33,43.93,3824,27-Nov-19,213.0348069,NURSING CATS
Solid Gold Winged Tiger With Quail & Pumpkin*,0.83,33.33,0.3,11.11,41.11,3560,08-Nov-19,231.0231023,NURSING CATS
Performatrin Ultra Limited Potato & Turkey Formula,0.84,36.3,0.37,19,30.1,3835,28-Nov-19,176.1055531,NURSING CATS
Blackwood Adult Chicken Meal & Brown Rice*,0.86,33.33,0.28,18.89,37.46,3913,27-Nov-19,186.5379762,NURSING CATS
Life's Abundance All Life Stages,0.86,35.48,0.46,22.58,31.2,4023,27-Nov-19,168.7024364,NURSING CATS
Nulo MedalSeries Adult Hairball Management Chicken & Cod,0.86,43.78,0.42,17.57,23.26,3534,26-Nov-19,161.9483042,NURSING CATS
Annamaet Original Chicken Meal & Brown Rice,0.87,33,0.36,15,31.5,4022,26-Nov-19,204.2424242,NURSING CATS
Adirondack Kitten*,0.87,34.44,0.3,20,na,3643,09-Jan-17,179.047619,NURSING CATS
Blackwood Kitten Chicken Meal & Brown Rice*,0.87,36.67,0.3,23.33,29.2,4204,27-Nov-19,163.2439369,NURSING CATS
"Blackwood Special Diet Grain Free Duck Meal, Salmon Meal & Field Pea*",0.87,42.22,0.3,20,29.18,3763,27-Nov-19,157.1103742,NURSING CATS
Performatrin Ultra Limited Green Pea & Duck Formula,0.88,33.2,0.44,13.2,37.3,3630,28-Nov-19,214.4030668,NURSING CATS
PetGuard LifeSpan Cat & Kitten,0.88,35.55,0.4,15.55,47.7,3485,18-Dec-19,192.5009384,NURSING CATS
Performatrin Ultra Limited Sweet Potato & Chicken Formula,0.89,33.3,0.34,13.4,37.8,3630,28-Nov-19,212.6753619,NURSING CATS
Blackwood Lean/Senior Chicken Meal & Brown Rice*,0.89,33.33,0.32,12.22,47.04,3594,27-Nov-19,221.2119739,NURSING CATS
Grandma Mae's Country Naturals Grain Free Salmon*,0.89,34.44,0.24,21.11,na,3820,23-Nov-19,175.8927162,NURSING CATS
Grandma Mae's Country Naturals Grain Free Chicken Meal & Brown Rice*,0.89,37.78,0.29,22.22,na,3900,23-Nov-19,162.5284286,NURSING CATS
Fussie Cat Market Fresh Salmon*,0.89,38.89,0.22,16.67,29,3550,17-Jan-20,177.4111621,NURSING CATS
Grandma Mae's Country Naturals Grain Free Chicken & Herring*,0.89,38.89,0.26,18.89,na,3700,23-Nov-19,168.9512342,NURSING CATS
Acana Meadowland,0.89,39,0.33,22,27,4060,29-Oct-19,159.6736597,NURSING CATS
Acana Wild Atlantic,0.89,39,0.66,22,25,4020,29-Oct-19,159.6736597,NURSING CATS
Fussie Cat Market Fresh Salmon & Chicken*,0.89,40,0.36,17.78,27,3604,17-Jan-20,169.9915636,NURSING CATS
Fussie Cat Market Fresh Chicken & Turkey*,0.89,40,0.39,17.78,27,3598,17-Jan-20,169.9915636,NURSING CATS
NutriSource Senior/Weight Management,0.9,28.92,0.63,9.06,na,3250,28-Jan-20,274.2207322,NURSING CATS
Diamond Care Urinary Support Formula,0.9,32.9,0.49,16.3,43.9,3728,12-Nov-19,198.2396927,NURSING CATS
Gather Free Acres Organic Free Run Chicken,0.9,33,0.49,18,37,3664,31-Oct-19,190.9090909,NURSING CATS
Solid Gold Fit as a Fiddle With Alaskan Pollock*,0.9,33.33,na,11.11,na,3110,08-Nov-19,231.0231023,NURSING CATS
Halo Holistic Grain Free Chicken & Chicken Liver Senior,0.9,33.5,0.6,14.2,40.4,3520,30-Jan-20,206.895102,NURSING CATS
"NutriSource Cat & Kitten Chicken Meal, Salmon & Liver",0.9,33.7,0.6,19.7,na,4170,28-Jan-20,182.5754267,NURSING CATS
Halo Holistic Grain Free Wild Salmon & Whitefish Senior,0.9,34,0.7,13.7,39.4,3470,30-Jan-20,208.1794762,NURSING CATS
Halo Holistic Sensitive Stomach Seafood Medley,0.9,34.8,0.5,18.6,36.7,3760,30-Jan-20,182.332221,NURSING CATS
Halo Holistic Chicken & Chicken Liver Adult,0.9,34.8,0.51,21.6,30.5,3780,30-Jan-20,173.3716475,NURSING CATS
Halo Holistic Wild Salmon & Whitefish Adult,0.9,35,0.6,16.8,36.3,3730,30-Jan-20,188.5714286,NURSING CATS
Fromm Chicken À La Veg,0.9,35.04,0.41,20.9,34.99,3871,31-Jan-20,174.4254004,NURSING CATS
Halo Holistic Sensitive Stomach Turkey & Turkey Liver,0.9,35.2,0.5,21.3,32.3,3770,30-Jan-20,172.8153009,NURSING CATS
Halo Holistic Healthy Weight Grain Free Wild Salmon & Whitefish Indoor,0.9,36.8,0.6,17.2,33.6,3550,30-Jan-20,181.1804853,NURSING CATS
Now FRESH Grain Free Kitten,0.9,38,0.31,24,30,3947,31-Oct-19,157.8947368,NURSING CATS
Halo Holistic Grain Free Wild Salmon & Whitefish Kitten,0.9,38.5,0.4,20.9,29.7,3870,30-Jan-20,163.9097744,NURSING CATS
Wysong Uretic,0.9,46.2,0.8,18,20.5,3528,16-Oct-19,155.4112554,NURSING CATS
"Feline Medley Chicken, Turkey & Fish",0.91,31.6,0.26,16.3,40.77,na,19-Nov-19,203.3664673,NURSING CATS
Star Pro Premium Feline Formula,0.91,33.41,0.33,17.03,33.33,3705,01-Feb-20,193.1816364,NURSING CATS
Performatrin Adult Grain-Free Chicken & Potato Formula,0.91,35.7,0.37,20.1,28.8,4095,16-Jan-20,174.5474309,NURSING CATS
Young Again Original Cat& Kitten 50/22,0.91,56.5,0.21,26.8,6,4465,01-Feb-20,117.3424911,NURSING CATS
Young Again Li'l Bites Kitten 50/22,0.91,56.5,0.21,26.8,6,4465,01-Feb-20,117.3424911,NURSING CATS
Infinia Holistic Chicken & Pea,0.93,36.7,0.45,18.9,23.87,3765,14-Nov-19,175.2086847,NURSING CATS
Fromm Beef Liváttini Veg,0.93,38.8,0.39,21.22,29.24,3802,31-Jan-20,162.2205272,NURSING CATS
Performatrin Ultra Limited Potato & Salmon Formula,0.95,36.3,0.27,19,30.5,3835,28-Nov-19,176.1055531,NURSING CATS
Performatrin Ultra Grain-Free Ocean Recipe,0.95,42,0.53,20,20.6,4186,21-Jan-20,157.6190476,NURSING CATS
Regal Lean Cat Bites,0.96,31.49,0.3,9.1,na,3276,05-Jan-17,262.0681954,NURSING CATS
Wellness Complete Health Indoor Chicken & Chicken Meal,0.96,35.11,0.33,13.7,41.08,3532,01-Feb-20,204.3670882,NURSING CATS
Performatrin Senior Formula,0.96,35.2,0.35,18.4,35.2,3920,28-Nov-19,181.694664,NURSING CATS
Nulo Freestyle Freeze-Dried Raw Cat & Kitten Turkey & Duck,0.96,46.9,0.36,43.62,1.02,5214,26-Nov-19,114.930359,NURSING CATS
Adirondack Lean /Senior*,0.97,31.11,0.27,11.11,na,3269,09-Jan-17,239.8012222,NURSING CATS
AvoDerm Grain Free Tuna With Lobster & Crab Meal,0.97,34.7,0.51,18.3,39,3595,24-Jul-19,183.7293901,NURSING CATS
Whole Earth Farms Grain Free Real Salmon,0.97,40.5,1.06,30.84,15.6,3458,25-Oct-19,140.1450737,NURSING CATS
Adirondack Adult*,0.98,33.33,0.26,15.56,na,3858,09-Jan-17,200.1331239,NURSING CATS
Artemis Fresh Mix Feline Formula,0.98,35.8,0.4,23,31.3,3922,23-Nov-16,166.6990527,NURSING CATS
AvoDerm Kitten Chicken & Herring Meal,0.98,39.13,0.35,23.91,23,4027,24-Jul-19,154.9671478,NURSING CATS
Blackwood Special Diet Grain Free Chicken Meal & Field Pea*,0.98,44.44,0.31,20,27.3,3823,27-Nov-19,152.2592259,NURSING CATS
Regal Cat Bites,0.99,33.86,0.34,19.96,na,3813,05-Jan-17,181.2070686,NURSING CATS
Chicken Soup for the Soul Grain Free Chicken & Legumes,0.99,35.7,0.35,17.19,35.11,3585,28-Oct-19,184.6539663,NURSING CATS
Authority Adult Chicken & Rice,0.99,36.1,0.2,18.6,37.7,4163,13-Dec-16,178.0895362,NURSING CATS
Grandma Mae's Country Naturals Grain Free Indoor & Weight Control*,1,33.33,0.21,8.89,na,2950,23-Nov-19,257.9954283,NURSING CATS
GO! Solutions Skin + Coat Care Grain Free Salmon,1,34,0.32,16,39,4122,31-Oct-19,195.5882353,NURSING CATS
Go! Solutions Sensitivities Limited Ingredient Grain Free Pollock,1,34,0.38,17,41,4232,31-Oct-19,191.1764706,NURSING CATS
Halo Holistic Healthy Weight Grain Free Game Bird Medley Indoor,1,34,0.7,18.2,35.7,3630,30-Jan-20,186.5223012,NURSING CATS
Lotus Grain Free Oven-Baked Low Fat Chicken Recipe,1,34.61,0.37,11.06,40.33,3206,28-Jan-20,226.9619678,NURSING CATS
Newman's Own Adult Cat Formula,1,35,0.3,18,32,na,14-Nov-19,183.8095238,NURSING CATS
Go! Solutions Sensitivities Limited Ingredient Duck,1,35,0.45,18,36,4222,31-Oct-19,183.8095238,NURSING CATS
Halo Holistic Healthy Weight Grain Free Chicken & Chicken Liver Indoor,1,35.2,0.7,17.1,36.3,3610,30-Jan-20,186.6527113,NURSING CATS
Go! Solutions Skin + Coat Care Chicken,1,36,0.28,22,33,4604,31-Oct-19,168.4343434,NURSING CATS
"Solid Gold Let’s Stay In With Salmon, Lentil & Apple*",1,36,0.38,16,25,na,23-Jan-20,188.8888889,NURSING CATS
Halo Holistic Grain Free Chicken & Chicken Liver Kitten,1,36,0.4,22.9,29.4,3870,30-Jan-20,166.2906356,NURSING CATS
Rachael Ray Nutrish Real Chicken & Brown Rice*,1,37.36,0.5,15.38,na,3635,06-Jan-20,187.7664477,NURSING CATS
Solid Gold Katz-N-Flocken With Lamb & Brown Rice & P*earled Barley,1,37.78,0.32,13.33,37.78,3525,08-Nov-19,198.5455337,NURSING CATS
Supreme Source Chicken Meal & Turkey Meal*,1,38.89,0.33,16.67,33.33,3650,03-Dec-19,177.4111621,NURSING CATS
Supreme Source Grain Free Whitefish Meal & Salmon Meal*,1,38.89,0.33,16.67,33.33,3660,03-Dec-19,177.4111621,NURSING CATS
Solid Gold Touch of Heaven With Chicken & Sweet Potato*,1,40,0.3,20,27.78,3810,08-Nov-19,162.5,NURSING CATS
FirstMate Grain Free Chicken Meal With Blueberries,1,40,0.4,18,29,3530,25-Nov-19,169.1666667,NURSING CATS
"Solid Gold Indigo Moon With Peas, Chicken & Egg*",1,42,0.3,20,17,3860,22-Jan-20,157.6190476,NURSING CATS
Solid Gold Indigo Moon With Alaskan Pollock & Egg*,1,42,0.3,20,17,na,23-Jan-20,157.6190476,NURSING CATS
Instinct Ultimate Protein Duck,1,52,0.56,18.89,18.89,4510,08-Nov-19,142.3718288,NURSING CATS
Rayne Clinical Nutrition Growth/Sensitive-GI,1.01,36.93,0.54,14.6,36.3,3500,27-Nov-19,193.2126311,NURSING CATS
Annamet No 29 Sustain Grain Free,1.01,37,0.43,16,26.5,3618,26-Nov-19,185.8108108,NURSING CATS
Rachael Ray Nutrish Indoor Chicken With Lentils & Salmon*,1.01,37.36,0.48,13.19,na,3499,06-Jan-20,200.7210543,NURSING CATS
Catered Bowl Antibiotic-free Chicken & Brown Rice*,1.02,33.33,0.27,17.06,37,3500,11-Nov-19,193.3522778,NURSING CATS
Tender & True Antibiotic-free Chicken & Brown Rice*,1.02,33.33,0.27,17.06,37,3500,11-Nov-19,193.3522778,NURSING CATS
AvoDerm Adult Chicken & Herring Indoor Hairball Care,1.02,34.78,0.33,17.39,29,3564,24-Jul-19,186.8890167,NURSING CATS
AvoDerm Adult Chicken & Herring Meal,1.02,34.78,0.33,21.74,28.5,3753,24-Jul-19,173.0816334,NURSING CATS
"Solid Gold Let’s Stay In With Chicken, Lentil & Apple*",1.02,36,0.38,16,25,na,22-Jan-20,188.8888889,NURSING CATS
